Month,Project Name,Batch,Email,Name,Role,Items,Skipped,Hour,Rate (INR),Amount,Invoice,Accoutn Status
March,Killi,AN_1_SINGLE ANNOTATOR,rohankhanna@biztechanalytics.com,Aman - Intern,Reviewer,84,,,0.56,47.04,,Return by Bank due to Wrong Account
March+ April,Roboflow,Astra - Hindi,operations-a@biztechanalytics.com,Prameela - Intern,EC - Submitter,1312,,,0.2,262.40,,
March+ April,Roboflow,TAX Form Canada-rework,rohankhanna@biztechanalytics.com,Himandri Sharma,QC,7801,25,,0.56,4368.56,,
May,Hindi Project,new 100K consensus with QA3_AN1-5000,operations-a@biztechanalytics.com,Himandri - Intern,Reviewer,3777,,,0.6,2266.20,,
Pending - May,Pending - PDF,New Project Knox - 180,rohankhanna@biztechanalytics.com,Atiya Kumar,QA,8108,,,0.6,"""4,864.80""",,
March+ April,Killi,Batch 6,rohankhanna@biztechanalytics.com,Kaushik - Intern,EC - Submitter,2938,,23.7,120,2844.00,,Paid on 17.06.2026
March,Terminus,Batch 7,operations-a@biztechanalytics.com,Uppu Venkatesh - Intern,Reviewer,217,,,0.2,43.40,,
May,Killi,new 100K consensus with QA3_AN1-5000,rohankhanna@biztechanalytics.com,Ritika,QC,4740,,20.8,100,2080.00,,
Pending - May,Pending - PDF,Batch 6,rohankhanna@biztechanalytics.com,Prameela,Annotator,6756,,,0.23,"""1,553.88""",,Pending for Payment
June -2026,Hindi Project,new 100K consensus with QA3_AN1-5000,rohankhanna@biztechanalytics.com,Ritika,QA,546,,,0.56,305.76,,
June -2026,Killi,Batch 6,rohankhanna@biztechanalytics.com,Joy - Intern,Annotator,1681,104,,0.6,"""1,008.60""",,
June -2026,Hindi Project,New Project Knox - 180,rohankhanna@biztechanalytics.com,Mukesh,QA,2701,,,0.23,621.23,,
May,PDF,TAX Form Canada-rework,dhruvgupta9911@gmail.com,Ritika Garg,Annotator,,,22.0,120,"""2,640.00""",,
April,Short Form Video Project,Astra - Hindi,operations-a@biztechanalytics.com,Himandri - Intern,QA,1825,,,0.56,1022.00,,
March+ April,Roboflow,New Project Knox - 180,operations-a@biztechanalytics.com,Uppu Venkatesh - Intern,QA,4038,,,0.5,2019.00,,
March+ April,Pending - PDF,Batch 7,dhruvgupta9191@gmail.com,Dhruv Gupta,Annotator,,,75.8,100,7580.00,,
March,Hindi Project,Batch 7,dhruvgupta9911@gmail.com,Ritika Garg,Annotator,,,90.1,307,27660.70,,
March+ April,Terminus,new_2_annotator_consensus_AN_1_7700_items,operations-a@biztechanalytics.com,Sabah,Reviewer,1431,,,0.56,801.36,,
March,Killi,TAX Form Canada-rework,operations-a@biztechanalytics.com,Sabah,EC - Submitter,2147,153,,0.23,493.81,,
Pending - May,Short Form Video Project,new 100K consensus with QA3_AN1-5000,operations-a@biztechanalytics.com,Angisa Kumar,EC - Submitter,5511,130,,0.5,2755.50,,
April,PDF,new_2_annotator_consensus_AN_1_7700_items,operations-a@biztechanalytics.com,Uppu Venkatesh,QC,2503,,,0.56,1401.68,,Return by Bank due to Wrong Account
Pending - May,Roboflow,AN_1_SINGLE ANNOTATOR,rohankhanna@biztechanalytics.com,Sai Charan Kumar,Reviewer,6783,127,,0.56,"""3,798.48""",,Return by Bank due to Wrong Account
April,PDF,TAX Form Canada-rework,rohankhanna@biztechanalytics.com,Brijesh Kumar,QA,3768,,,0.5,"""1,884.00""",,Return by Bank due to Wrong Account
April,Hindi Project,new_2_annotator_consensus_AN_1_7700_items,operations-a@biztechanalytics.com,Pradeep Sharma,EC - Submitter,3470,,,0.56,1943.20,,Paid on 15.07.2026
May,Terminus,new 100K consensus with QA3_AN1-5000,operations-a@biztechanalytics.com,Angisa - Intern,QC,1292,,,0.6,775.20,,
April,Hindi Project,Astra - Hindi,rohankhanna@biztechanalytics.com,Atiya,QC,1904,,,0.56,"""1,066.24""",,Pending for Payment
May,Roboflow,AN_1_SINGLE ANNOTATOR,operations-a@biztechanalytics.com,Vishwa - Intern,Annotator,2444,,,0.2,488.80,,
March+ April,Terminus,Astra - Hindi,rohankhanna@biztechanalytics.com,Ankur Kumar,Reviewer,613,,,0.6,367.80,,Paid on 17.06.2026
May,Killi,Astra - Hindi,operations-a@biztechanalytics.com,Prameela,EC - Submitter,8609,,18.7,35,654.50,,Paid on 15.07.2026
June -2026,Short Form Video Project,new_2_annotator_consensus_AN_1_7700_items,rohankhanna@biztechanalytics.com,Rajyalakshmi - Intern,QC,5986,,38.2,120,"""4,584.00""",,
March+ April,Terminus,new 100K consensus with QA3_AN1-5000,operations-a@biztechanalytics.com,Jyoti - Intern,Reviewer,7433,130,,0.2,1486.60,,Pending for Payment
April,Terminus,TAX Form Canada-rework,operations-a@biztechanalytics.com,Rajesh,QA,258,,,0.56,144.48,,Pending for Payment
June -2026,Pending - PDF,new 100K consensus with QA3_AN1-5000,rohankhanna@biztechanalytics.com,Angisa,QA,3435,,,0.2,687.00,,
June -2026,Roboflow,new_2_annotator_consensus_AN_1_7700_items,dhruvgupta9191@gmail.com,Dhruv Gupta,EC - Submitter,,,43.9,100,4390.00,,
Pending - May,Pending - PDF,AN_1_SINGLE ANNOTATOR,operations-a@biztechanalytics.com,Palguni Sharma,Annotator,7202,107,,0.5,3601.00,,Paid on 15.07.2026
March+ April,Killi,new 100K consensus with QA3_AN1-5000,priyasharma@biztechanalytics.com,Priya Sharma,EC - Submitter,,,69.7,120,8364.00,,
March+ April,Roboflow,new 100K consensus with QA3_AN1-5000,operations-a@biztechanalytics.com,Aman,Reviewer,536,,,0.56,300.16,,
June -2026,PDF,TAX Form Canada-rework,operations-a@biztechanalytics.com,Priyam - Intern,QC,4232,,28.2,25,705.00,,Pending for Payment
Pending - May,Killi,New Project Knox - 180,operations-a@biztechanalytics.com,Sneha,QA,858,,,12,429.00,,
April,Pending - PDF,Batch 6,operations-a@biztechanalytics.com,Meena,Annotator,5413,,,0.56,"""3,031.28""",,
March+ April,Terminus,Batch 7,rohankhanna@biztechanalytics.com,Nishtha,QA,7091,,,0.56,"""3,970.96""",,Pending for Payment
May,Roboflow,Batch 7,operations-a@biztechanalytics.com,Bhavya,Annotator,4640,174,,0.5,"""2,320.00""",,Paid on 17.06.2026
March+ April,Pending - PDF,AN_1_SINGLE ANNOTATOR,operations-a@biztechanalytics.com,Rajesh - Intern,EC - Submitter,2526,,22.8,120,2736.00,,
March+ April,Short Form Video Project,Batch 6,operations-a@biztechanalytics.com,Ajay Sharma,EC - Submitter,7368,,,0.56,4126.08,,
March+ April,Hindi Project,new_2_annotator_consensus_AN_1_7700_items,operations-a@biztechanalytics.com,Mukesh,EC - Submitter,8977,,,0.56,5027.12,,Paid on 15.07.2026
March+ April,Terminus,TAX Form Canada-rework,operations-a@biztechanalytics.com,Nishtha - Intern,Reviewer,753,,,0.2,150.60,,
April,Terminus,Batch 6,operations-a@biztechanalytics.com,Tejbanta,EC - Submitter,1343,,8.6,100,860.00,,Paid on 15.07.2026
March,Hindi Project,Batch 7,rohankhanna@biztechanalytics.com,Uppu Venkatesh,QA,8377,,,0.56,4691.12,,
April,PDF,Batch 6,operations-a@biztechanalytics.com,Sindhu,Annotator,3257,184,,0.6,"""1,954.20""",,
March,PDF,TAX Form Canada-rework,operations-a@biztechanalytics.com,Sabah,Annotator,7761,133,,0.6,"""4,656.60""",,Paid on 15.07.2026
June -2026,Short Form Video Project,TAX Form Canada-rework,operations-a@biztechanalytics.com,Aishwarya,Reviewer,8408,,,0.23,1933.84,,
June -2026,Pending - PDF,New Project Knox - 180,operations-a@biztechanalytics.com,Ruchita,EC - Submitter,1988,,26.9,35,941.50,,Paid on 15.07.2026
April,Terminus,Batch 7,operations-a@biztechanalytics.com,Palguni,Annotator,1403,188,39.1,35,1368.50,,
June -2026,Killi,TAX Form Canada-rework,rohankhanna@biztechanalytics.com,Rajesh Sharma,QC,6813,180,32.2,120,"""3,864.00""",,
March+ April,Short Form Video Project,New Project Knox - 180,rohankhanna@biztechanalytics.com,Durgai Sai Sharma,Annotator,973,,,12,486.50,,
May,Terminus,Batch 6,rohankhanna@biztechanalytics.com,Joy - Intern,QA,4285,,,0.2,857.00,,
March,PDF,AN_1_SINGLE ANNOTATOR,rohankhanna@biztechanalytics.com,Joy - Intern,QC,1785,,,0.56,999.60,,Paid on 15.07.2026
March,Short Form Video Project,TAX Form Canada-rework,operations-a@biztechanalytics.com,Kiran Bala - Intern,QA,7159,103,15.8,15,237.00,,Return by Bank due to Wrong Account
May,Short Form Video Project,new_2_annotator_consensus_AN_1_7700_items,rohankhanna@biztechanalytics.com,Pranav,Annotator,4456,,,0.6,2673.60,,Return by Bank due to Wrong Account
June -2026,Terminus,TAX Form Canada-rework,operations-a@biztechanalytics.com,Sharul,QC,4847,,,0.56,"""2,714.32""",,
March+ April,Killi,Astra - Hindi,rohankhanna@biztechanalytics.com,Suhrid - Intern,Annotator,7993,,,0.56,"""4,476.08""",,Pending for Payment
March+ April,Short Form Video Project,Batch 7,rohankhanna@biztechanalytics.com,Priyam Kumar,QA,8653,,,0.6,5191.80,,
June -2026,Roboflow,Astra - Hindi,operations-a@biztechanalytics.com,Anishka,QC,5585,,,0.5,2792.50,,
March+ April,Terminus,Batch 7,operations-a@biztechanalytics.com,Nishtha - Intern,QC,2683,,,0.5,1341.50,,Paid on 17.06.2026
April,Killi,Batch 7,priyasharma@biztechanalytics.com,Priya Sharma,Annotator,,,84.3,120,10116.00,,
March+ April,PDF,new 100K consensus with QA3_AN1-5000,rohankhanna@biztechanalytics.com,Durgai Sai - Intern,Reviewer,1388,,,0.23,319.24,,
May,Terminus,new 100K consensus with QA3_AN1-5000,rohankhanna@biztechanalytics.com,Aman - Intern,QA,7598,31,,0.6,4558.80,,
Pending - May,Hindi Project,Batch 7,rohankhanna@biztechanalytics.com,Tejbanta Sharma,Reviewer,8914,,,0.56,4991.84,,Return by Bank due to Wrong Account
March+ April,Killi,Astra - Hindi,operations-a@biztechanalytics.com,Bhavya,Reviewer,4557,47,,0.56,2551.92,,Return by Bank due to Wrong Account
April,Killi,New Project Knox - 180,rohankhanna@biztechanalytics.com,Ajay,Reviewer,8907,5,14.7,35,514.50,,Return by Bank due to Wrong Account
Pending - May,PDF,Batch 6,rohankhanna@biztechanalytics.com,Angisa Sharma,QA,5523,,,0.56,3092.88,,Pending for Payment
March,Hindi Project,new_2_annotator_consensus_AN_1_7700_items,operations-a@biztechanalytics.com,Sarth,Annotator,6850,,37.4,100,3740.00,,
Pending - May,PDF,Batch 7,rohankhanna@biztechanalytics.com,Pavani,EC - Submitter,8622,,,0.56,4828.32,,Paid on 15.07.2026
Pending - May,Roboflow,AN_1_SINGLE ANNOTATOR,rohankhanna@biztechanalytics.com,Pavani,QC,1506,,,0.56,843.36,,
June -2026,Roboflow,Astra - Hindi,rohankhanna@biztechanalytics.com,Somya Kumar,Reviewer,6280,,,0.5,3140.00,,Paid on 15.07.2026
June -2026,Short Form Video Project,TAX Form Canada-rework,operations-a@biztechanalytics.com,Mukesh - Intern,EC - Submitter,1775,,,0.6,1065.00,,Pending for Payment
March,Pending - PDF,AN_1_SINGLE ANNOTATOR,rohankhanna@biztechanalytics.com,Somya Sharma,QC,2017,151,,0.56,1129.52,,
May,Short Form Video Project,new 100K consensus with QA3_AN1-5000,rohankhanna@biztechanalytics.com,Meena - Intern,Reviewer,1674,,,0.56,937.44,,Pending for Payment
April,Killi,Astra - Hindi,operations-a@biztechanalytics.com,Pradeep - Intern,QA,1099,,,0.2,219.80,,Paid on 15.07.2026
May,Hindi Project,new_2_annotator_consensus_AN_1_7700_items,rohankhanna@biztechanalytics.com,Somya,QA,1294,96,,0.23,297.62,,
March+ April,Hindi Project,Batch 7,operations-a@biztechanalytics.com,Sneha Sharma,QA,6955,21,,0.23,1599.65,,Paid on 15.07.2026
March+ April,Roboflow,New Project Knox - 180,rohankhanna@biztechanalytics.com,Mukesh,Reviewer,4055,,,0.23,932.65,,
May,Terminus,New Project Knox - 180,rohankhanna@biztechanalytics.com,Aditya,QA,7848,,38.8,25,970.00,,Return by Bank due to Wrong Account
June -2026,Hindi Project,AN_1_SINGLE ANNOTATOR,rohankhanna@biztechanalytics.com,Durgai Sai,QA,427,,,0.5,213.50,,
April,Terminus,new_2_annotator_consensus_AN_1_7700_items,operations-a@biztechanalytics.com,Pavani - Intern,QC,1821,,,0.2,364.20,,
March,Killi,Astra - Hindi,operations-a@biztechanalytics.com,Atiya,QA,6081,,,0.6,3648.60,,
June -2026,Short Form Video Project,new 100K consensus with QA3_AN1-5000,rohankhanna@biztechanalytics.com,Pavani Sharma,QC,1133,105,,0.5,566.50,,
March,PDF,TAX Form Canada-rework,operations-a@biztechanalytics.com,Ajay,Reviewer,1644,,,0.56,920.64,,
Pending - May,PDF,new_2_annotator_consensus_AN_1_7700_items,operations-a@biztechanalytics.com,Aditya - Intern,Reviewer,2885,,,0.6,1731.00,,Return by Bank due to Wrong Account
June -2026,PDF,AN_1_SINGLE ANNOTATOR,rohankhanna@biztechanalytics.com,Sharul,QA,6887,96,,0.56,3856.72,,Pending for Payment
April,PDF,Batch 7,rohankhanna@biztechanalytics.com,Aman,Reviewer,1730,,34.8,25,870.00,,Paid on 17.06.2026
March,Roboflow,TAX Form Canada-rework,operations-a@biztechanalytics.com,Harshit,QC,5555,,8.4,35,294.00,,Paid on 17.06.2026
March+ April,Terminus,TAX Form Canada-rework,operations-a@biztechanalytics.com,Rajesh,Annotator,2002,,37.7,30,1131.00,,
April,Short Form Video Project,New Project Knox - 180,rohankhanna@biztechanalytics.com,Rahela,Reviewer,4927,,36.6,35,1281.00,,Paid on 17.06.2026
June -2026,Short Form Video Project,New Project Knox - 180,rohankhanna@biztechanalytics.com,Pradeep - Intern,EC - Submitter,999,100,27.6,30,828.00,,
May,Short Form Video Project,New Project Knox - 180,rohankhanna@biztechanalytics.com,Aman,EC - Submitter,7404,79,,0.2,"""1,480.80""",,
May,Hindi Project,Astra - Hindi,rohankhanna@biztechanalytics.com,Ankur,Reviewer,820,,34.2,25,855.00,,Paid on 15.07.2026
March,Short Form Video Project,Batch 6,rohankhanna@biztechanalytics.com,Sabah - Intern,QC,4885,75,,0.6,2931.00,,Paid on 17.06.2026
Pending - May,Roboflow,Batch 7,operations-a@biztechanalytics.com,Ritika - Intern,Annotator,6201,,24.9,120,2988.00,,
May,Hindi Project,AN_1_SINGLE ANNOTATOR,operations-a@biztechanalytics.com,Bhavya,Reviewer,3527,,,0.56,"""1,975.12""",,Paid on 15.07.2026
March,Pending - PDF,TAX Form Canada-rework,operations-a@biztechanalytics.com,Swarupa,EC - Submitter,3990,,,0.6,"""2,394.00""",,
May,PDF,new_2_annotator_consensus_AN_1_7700_items,operations-a@biztechanalytics.com,Sai Charan Kumar,EC - Submitter,1337,,,0.2,267.40,,Paid on 15.07.2026
March+ April,Roboflow,new_2_annotator_consensus_AN_1_7700_items,rohankhanna@biztechanalytics.com,Priyam,QA,3043,175,,0.6,"""1,825.80""",,
March,Hindi Project,New Project Knox - 180,rohankhanna@biztechanalytics.com,Pavani,Reviewer,2137,,33.8,25,845.00,,
April,Short Form Video Project,Batch 6,dhruvgupta9191@gmail.com,Dhruv Gupta,Annotator,,,63.1,120,7572.00,,
Pending - May,Terminus,new_2_annotator_consensus_AN_1_7700_items,operations-a@biztechanalytics.com,Bhavya Sharma,EC - Submitter,8976,,,0.56,5026.56,,
June -2026,Pending - PDF,Batch 6,operations-a@biztechanalytics.com,Kaushik - Intern,Reviewer,6041,,,0.2,1208.20,,Pending for Payment
March+ April,PDF,Astra - Hindi,rohankhanna@biztechanalytics.com,Sharul,QC,152,,39.5,30,1185.00,,Return by Bank due to Wrong Account
June -2026,Terminus,AN_1_SINGLE ANNOTATOR,operations-a@biztechanalytics.com,Swarupa,QA,7167,,35.4,12,424.80,,Paid on 17.06.2026
June -2026,Roboflow,Astra - Hindi,priyasharma@biztechanalytics.com,Priya Sharma,EC - Submitter,,,36.5,307,11205.50,,
June -2026,Hindi Project,new_2_annotator_consensus_AN_1_7700_items,rohankhanna@biztechanalytics.com,Amir Hamza,QA,5980,,,0.6,"""3,588.00""",,Pending for Payment
April,PDF,AN_1_SINGLE ANNOTATOR,operations-a@biztechanalytics.com,Atiya,EC - Submitter,7758,,,0.23,1784.34,,
March,Roboflow,Batch 7,rohankhanna@biztechanalytics.com,Ridhima,QC,7133,,10.7,100,1070.00,,
April,Short Form Video Project,New Project Knox - 180,rohankhanna@biztechanalytics.com,Amir Hamza,QC,944,,,0.5,472.00,,
June -2026,Killi,new 100K consensus with QA3_AN1-5000,rohankhanna@biztechanalytics.com,Suhrid - Intern,QC,1923,,,0.23,442.29,,
Pending - May,Pending - PDF,Astra - Hindi,rohankhanna@biztechanalytics.com,Meena,QC,3974,,,0.23,914.02,,Pending for Payment
Pending - May,Roboflow,new 100K consensus with QA3_AN1-5000,rohankhanna@biztechanalytics.com,Prameela,QA,2627,11,27.7,30,831.00,,Paid on 15.07.2026
June,PDF,Batch 6,,Ritika,Annotator,100,,,0.56,56.00,,
June -2026,Pending - PDF,Astra - Hindi,rohankhanna@biztechanalytics.com,Ankur,Reviewer,7851,150,,0.56,4396.56,,Paid on 15.07.2026
June -2026,Pending - PDF,new_2_annotator_consensus_AN_1_7700_items,rohankhanna@biztechanalytics.com,Angisa Kumar,Reviewer,6990,,,0.23,"""1,607.70""",,Return by Bank due to Wrong Account
March+ April,Killi,new 100K consensus with QA3_AN1-5000,rahulmehta@biztechanalytics.com,Rahul Mehta,Annotator,,,14.3,100,1430.00,,
June -2026,PDF,New Project Knox - 180,rohankhanna@biztechanalytics.com,Anishka,Reviewer,924,,,0.6,554.40,,Paid on 15.07.2026
March,PDF,new 100K consensus with QA3_AN1-5000,rohankhanna@biztechanalytics.com,Ritika,Reviewer,110,,15.5,120,1860.00,,Paid on 15.07.2026
Pending - May,Roboflow,Batch 7,dhruvgupta9191@gmail.com,Dhruv Gupta,Annotator,,,21.4,500,10700.00,,
Pending - May,Pending - PDF,Batch 7,rohankhanna@biztechanalytics.com,Sneha,EC - Submitter,4067,,,0.6,"""2,440.20""",,Paid on 17.06.2026
Pending - May,Hindi Project,New Project Knox - 180,operations-a@biztechanalytics.com,Vivek,Annotator,3657,,,0.6,"""2,194.20""",,Paid on 17.06.2026
April,PDF,New Project Knox - 180,rohankhanna@biztechanalytics.com,Amir Hamza Kumar,QA,5210,,1.6,100,160.00,,Paid on 15.07.2026
May,Roboflow,new_2_annotator_consensus_AN_1_7700_items,rohankhanna@biztechanalytics.com,Kiran Bala Sharma,QA,6361,,,0.6,3816.60,,Paid on 15.07.2026
May,Killi,new 100K consensus with QA3_AN1-5000,operations-a@biztechanalytics.com,Kathryn,QC,7438,,31.6,100,3160.00,,
April,Short Form Video Project,Astra - Hindi,operations-a@biztechanalytics.com,Himandri - Intern,QA,469,,,12,234.50,,
April,Terminus,Batch 6,operations-a@biztechanalytics.com,Pranav,Reviewer,6455,,,0.56,"""3,614.80""",,Return by Bank due to Wrong Account
May,Killi,new 100K consensus with QA3_AN1-5000,operations-a@biztechanalytics.com,Atiya,Reviewer,1647,,,0.23,378.81,,
March,Short Form Video Project,Batch 6,rohankhanna@biztechanalytics.com,Anishka,Annotator,4006,12,,0.23,921.38,,
March+ April,Terminus,New Project Knox - 180,rohankhanna@biztechanalytics.com,Savithri,EC - Submitter,4835,128,19.4,12,232.80,,
March,Roboflow,Batch 7,operations-a@biztechanalytics.com,Harshit Sharma,QC,828,,37.1,120,"""4,452.00""",,Paid on 17.06.2026
March+ April,Terminus,TAX Form Canada-rework,operations-a@biztechanalytics.com,Nishtha - Intern,Reviewer,2898,,,12,1449.00,,
June -2026,Hindi Project,New Project Knox - 180,rohankhanna@biztechanalytics.com,Vivek,Annotator,2762,,,0.2,552.40,,
June -2026,Killi,new 100K consensus with QA3_AN1-5000,rohankhanna@biztechanalytics.com,Pradeep,Annotator,3836,,,0.2,767.20,,
Pending - May,Killi,new_2_annotator_consensus_AN_1_7700_items,operations-a@biztechanalytics.com,Kaushik,QC,5992,24,,0.6,"""3,595.20""",,Paid on 15.07.2026
March,Killi,Batch 6,operations-a@biztechanalytics.com,Ankur,Reviewer,5733,,26.2,120,"""3,144.00""",,
Pending - May,Hindi Project,new_2_annotator_consensus_AN_1_7700_items,operations-a@biztechanalytics.com,Somya,Annotator,1580,,,12,790.00,,
April,Roboflow,AN_1_SINGLE ANNOTATOR,operations-a@biztechanalytics.com,Aman Sharma,Reviewer,6284,,11.4,120,1368.00,,Paid on 15.07.2026
June -2026,Hindi Project,new_2_annotator_consensus_AN_1_7700_items,rohankhanna@biztechanalytics.com,Savithri,QC,4911,,,0.23,1129.53,,Return by Bank due to Wrong Account
April,Hindi Project,New Project Knox - 180,rohankhanna@biztechanalytics.com,Sindhu,Reviewer,6819,,,0.2,1363.80,,
May,PDF,Batch 7,rohankhanna@biztechanalytics.com,Jyoti,QC,4066,92,,0.5,"""2,033.00""",,
June -2026,PDF,new_2_annotator_consensus_AN_1_7700_items,operations-a@biztechanalytics.com,Pranav,Reviewer,5553,117,,0.2,1110.60,,Paid on 15.07.2026
May,Killi,new_2_annotator_consensus_AN_1_7700_items,operations-a@biztechanalytics.com,Sarth,EC - Submitter,6543,,6.0,30,180.00,,
April,Short Form Video Project,Batch 7,operations-a@biztechanalytics.com,Aditya - Intern,QA,4569,,23.0,100,2300.00,,
April,Killi,AN_1_SINGLE ANNOTATOR,operations-a@biztechanalytics.com,Aditya,EC - Submitter,4352,,,0.5,2176.00,,
May,Hindi Project,new_2_annotator_consensus_AN_1_7700_items,rohankhanna@biztechanalytics.com,Bhavya - Intern,QC,749,,,0.2,149.80,,
June -2026,PDF,new 100K consensus with QA3_AN1-5000,rohankhanna@biztechanalytics.com,Brijesh,QC,3331,,34.0,12,408.00,,Pending for Payment
June,PDF,Batch 6,not-an-email,Rahela,Annotator,50,,,0.56,28.00,,
March+ April,Short Form Video Project,New Project Knox - 180,operations-a@biztechanalytics.com,Jyoti Kumar,Annotator,5967,,36.9,35,1291.50,,
March+ April,Terminus,AN_1_SINGLE ANNOTATOR,rahulmehta@biztechanalytics.com,Rahul Mehta,EC - Submitter,,,38.3,500,19150.00,,
May,Killi,new 100K consensus with QA3_AN1-5000,rohankhanna@biztechanalytics.com,Ruchita - Intern,EC - Submitter,6943,,,0.23,1596.89,,Pending for Payment
May,Pending - PDF,new 100K consensus with QA3_AN1-5000,rohankhanna@biztechanalytics.com,Amir Hamza,QC,3683,,,0.56,2062.48,,Return by Bank due to Wrong Account
Pending - May,Terminus,Astra - Hindi,rohankhanna@biztechanalytics.com,Himandri - Intern,Reviewer,2198,130,,0.2,439.60,,Paid on 15.07.2026
March+ April,Short Form Video Project,New Project Knox - 180,rohankhanna@biztechanalytics.com,Durgai Sai Sharma,Annotator,2838,,,0.2,567.60,,
March+ April,Short Form Video Project,new 100K consensus with QA3_AN1-5000,dhruvgupta9911@gmail.com,Ritika Garg,Annotator,,,20.2,120,2424.00,,
March+ April,Hindi Project,New Project Knox - 180,operations-a@biztechanalytics.com,Kathryn Kumar,Annotator,6825,,,0.5,"""3,412.50""",,Pending for Payment
April,PDF,Batch 6,rohankhanna@biztechanalytics.com,Nishtha,EC - Submitter,6718,,,0.2,1343.60,,
March,Short Form Video Project,new_2_annotator_consensus_AN_1_7700_items,rohankhanna@biztechanalytics.com,Ankur,QC,3532,,,0.2,706.40,,Paid on 17.06.2026
March+ April,PDF,Batch 7,rohankhanna@biztechanalytics.com,Pranav,EC - Submitter,6006,,,0.5,3003.00,,
March,PDF,AN_1_SINGLE ANNOTATOR,operations-a@biztechanalytics.com,Palguni Sharma,Annotator,6367,,,0.6,3820.20,,
Pending - May,PDF,Batch 6,rohankhanna@biztechanalytics.com,Sindhu Kumar,QA,7785,,,0.5,3892.50,,Return by Bank due to Wrong Account
June -2026,Pending - PDF,New Project Knox - 180,operations-a@biztechanalytics.com,Pradeep,Reviewer,8494,93,,0.2,"""1,698.80""",,Pending for Payment
April,PDF,New Project Knox - 180,rohankhanna@biztechanalytics.com,Harshit - Intern,QA,930,154,,0.23,213.90,,
April,Short Form Video Project,Astra - Hindi,rahulmehta@biztechanalytics.com,Rahul Mehta,Annotator,,,23.9,307,7337.30,,
April,Hindi Project,New Project Knox - 180,operations-a@biztechanalytics.com,Ritika,Annotator,2248,,,0.2,449.60,,
April,Terminus,TAX Form Canada-rework,operations-a@biztechanalytics.com,Ritika Sharma,QA,3588,,,0.23,825.24,,
June,PDF,Batch 6,,Sabah,Annotator,100,,,0.56,56.00,,
Pending - May,Short Form Video Project,Batch 6,rohankhanna@biztechanalytics.com,Amir Hamza Sharma,QA,752,26,,0.23,172.96,,Return by Bank due to Wrong Account
Pending - May,Short Form Video Project,AN_1_SINGLE ANNOTATOR,rohankhanna@biztechanalytics.com,Sharul,QA,5499,,,0.23,1264.77,,
Pending - May,PDF,new_2_annotator_consensus_AN_1_7700_items,rohankhanna@biztechanalytics.com,Aishwarya,QA,6852,,,0.56,"""3,837.12""",,Pending for Payment
March+ April,Pending - PDF,Batch 7,operations-a@biztechanalytics.com,Sai Charan,QC,4458,114,,0.56,2496.48,,
June -2026,Killi,New Project Knox - 180,operations-a@biztechanalytics.com,Vivek - Intern,EC - Submitter,4499,,,0.23,"""1,034.77""",,Paid on 15.07.2026
March,Terminus,AN_1_SINGLE ANNOTATOR,operations-a@biztechanalytics.com,Rajyalakshmi - Intern,Reviewer,8674,94,,0.5,"""4,337.00""",,
June,PDF,Batch 6,not-an-email,Rajyalakshmi,Annotator,50,,,0.56,28.00,,
Pending - May,Killi,AN_1_SINGLE ANNOTATOR,dhruvgupta9191@gmail.com,Dhruv Gupta,Annotator,,,3.4,307,"""1,043.80""",,
June,PDF,Batch 6,,Ruchita,Annotator,100,,,0.56,56.00,,
April,Killi,AN_1_SINGLE ANNOTATOR,operations-a@biztechanalytics.com,Bhavya,Annotator,6916,,,0.6,4149.60,,Pending for Payment
March,Pending - PDF,AN_1_SINGLE ANNOTATOR,rohankhanna@biztechanalytics.com,Aditya,Annotator,2793,,38.2,25,955.00,,
April,Pending - PDF,Batch 6,rohankhanna@biztechanalytics.com,Ankur - Intern,QA,6437,147,,0.5,"""3,218.50""",,
March,Pending - PDF,TAX Form Canada-rework,rohankhanna@biztechanalytics.com,Somya Kumar,EC - Submitter,4631,,,0.5,2315.50,,Paid on 15.07.2026
March+ April,PDF,new_2_annotator_consensus_AN_1_7700_items,rohankhanna@biztechanalytics.com,Kaushik - Intern,QC,8856,85,6.0,100,600.00,,
Pending - May,PDF,New Project Knox - 180,rohankhanna@biztechanalytics.com,Kaushik,Reviewer,4778,,16.0,120,1920.00,,Paid on 15.07.2026
Pending - May,Short Form Video Project,Astra - Hindi,operations-a@biztechanalytics.com,Dipti,Annotator,4951,167,,0.2,990.20,,
May,Short Form Video Project,Astra - Hindi,operations-a@biztechanalytics.com,Savithri,Annotator,2273,195,,0.2,454.60,,
May,Terminus,new 100K consensus with QA3_AN1-5000,operations-a@biztechanalytics.com,Angisa,Reviewer,6951,,,0.5,"""3,475.50""",,Paid on 17.06.2026
March,Pending - PDF,TAX Form Canada-rework,operations-a@biztechanalytics.com,Swarupa Kumar,QA,2143,,,0.56,1200.08,,Paid on 17.06.2026
March,PDF,Batch 7,operations-a@biztechanalytics.com,Meena,Reviewer,7560,,,0.5,3780.00,,
March+ April,Terminus,new_2_annotator_consensus_AN_1_7700_items,priyasharma@biztechanalytics.com,Priya Sharma,Annotator,,,77.2,120,9264.00,,
June -2026,Pending - PDF,AN_1_SINGLE ANNOTATOR,operations-a@biztechanalytics.com,Priyam Sharma,QC,6209,1,,0.56,"""3,477.04""",,Pending for Payment
